*4u,kiss for you
shyat,s  t
shyt,s  t
siao,school is almost over
sibir,sibling in room
sic,said in context
sicl,sitting in chair laughing
sif,as if
sifn't,as if not
sig,signature
siggy,signature
silf,sister i d like to f  k
simcl,sitting in my chair laughing
simclmao,sitting in my chair laughing my a   off
siol,shout it out loud
sis,sister
sista,sister
sitb,sex in the but
sitmf,say it to my face
siu,suck it up
siuya,shove it up your a  
sk,spawn kill
sk8,skate
sk8er,skater
sk8ing,skating
sk8r,skater
sk8ter,skater
sk8tr,skater
sked,schedule
skeet,ejaculate
skewl,school
skhool,school
skillz,skills
skl,school
skool,school
skoul,school
sktr,skater
skwl,school
sl4n,so long for now
sl^t,s  t
sleepin,sleeping
sleepn,sleeping
slf,sexy little f  k
slgb,straight lesbian gay bisexual
slng,slang
slo,slow
slore,s  tty w   e
slos,someone looking over shoulder
slp,sleep
slt,something like that
sm,social media
sm1,someone
smb,see my blog
smbd,suck my big d  k
smbt,suck my big toe
smc,suck my c  k
smd,suck my d  k
smdb,suck my d  k b   h
smdvq,suck my d  k quickly
smeg,f  k
smexy,sexy
smf,stupid motherf  ker
smfd,suck my f  king d  k
smfpos,stupid mother f  king piece of s  t
smh,shaking my head
smhb,suck my hairy balls
smho,screaming my head off
smithwaws,smack me in the head with a wooden spoon
smofo,stupid mother f  ker
smst,somebody missed snack time
smt,suck my tits
smthin,something
smthng,something
smtm,sometime
smto,sticking my tongue out
smtoay,sticking my tongue out at you
sn,screen name
snafu,situation normal all f  ked up
snafubar,situation normal all f  ked up beyond any recognition
snes,super nintendo entertainment system
snew,what s new
snf,so not fair
snl,saturday night live
snm,say no more
snog,kiss
snogged,kissed
soa,service oriented architecture
soab,son of a btch
soad,system of a down
soafb,son of a f  king b   h
sob,son of a b   h
sobs,same  old  boring s  t
soc,same old crap
soe,service oriented enterprise
sof,smile on face
sofas,stepping out for a smoke
sofs,same old f  king s  t
soi,service oriented infrastructure
sok,it s ok
sokay,it s okay
sol,s  t outta luck
som'm,something
som1,someone
somadn,sitting on my a   doing nothing
some1,someone
soml,story of my life
soo,so
soobs,saggy boobs
sool,s  t out of luck
sop,same old place
sorg,straight or gay
sorreh,sorry
sorta,sort of
sos,same old s  t
sosdd,same old s  t  different day
sosg,spouse over shoulder gone
sot,suck on this
sotc,stupid off topic crap
sotr,sex on the road
sowi,sorry
sowwy,sorry
soz,sorry
spk,speak
sploits,exploits
sploitz,exploits
spos,stupid peace of s  t
sprm,sperm
sqtm,snickering quietly to myself
srch,search
srly,seriously
sroucks,that s cool  but it still sucks
srry,sorry
srs,serious
srsly,seriously
srvis,service
sry,sorry
srynd2g,sorry need to go
srzly,seriously
ss,screenshot
ss4l,smoking sista for life
ssdd,same s  t  different day
ssdp,same s  t different pile
ssia,subject says it all
ssl,secure sockets layer
ssob,stupid sons of b   hes
ssry,so sorry
sssd,same s  t same day
st,stop that
st1,stoned
st8,state
stb,soon to be
stbx,soon to be ex
stby,sucks to be you
std,sexually transmitted disease
steamloller,laughing  alot 
stfd,sit the f  k down
stff,stuff
stfm,search the f  king manual
stfng,search the f  king news group
stfu,shut the f  k up
stfua,shut the f  k up already
stfuah,shut the f  k up a  h  e
stfub,shut the f  k up b   h
stfuda,shut the f  k up dumb a  
stfugbtw,shut the f  k up and get back to work
stfun,shut the f  k up n    r
stfuogtfo,shut the f  k up or get the f  k out 
stfuppercut,shut the f  k up
stfuyb,shut the f  k up you b   h
stfuysoab,shut the f  k up you son of a b   h
stfw,search the f  king web
stg,swear to god
sth,something
sthing,something
sthu,shut the hell up
stm,smiling to myself
stoopid,stupid
stpd,stupid
str8,straight
str8up,straight up
sts,so to speak
stsp,same time same place
stt,same time tomorrow
stufu,stupid f  ker
stupd,stupid
stw,share the wealth
stys,speak to you soon
su,shut up
suabq,shut up and be quiet
suagooml,shut up and get out of my life
suib,shut up im busy
suk,suck
suka,sucker
sukz,sucks
sul,see you later
sum1,someone
sumfin,something
summin,something
sumone,someone
sumthin',something
sumtin,something
sup,what s up
supa,super
supposably,supposedly
sus,see you soon
susfu,situation unchanged  still f  ked up
sut,see you tomorrow
sutuct,so you think you can type
sux,sucks
sux0rz,sucks
sux2bu,sucks to be you
suxor,sucks
suxors,sucks
suxorz,sucks
suxx,sucks
suxxor,sucks
suyah,shut up you a   hole 
svn,seven
svu,special victims unit
sw,so what
swafk,sealed with a friendly kiss
swak,sealed with a kiss
swakaah,sealed with a kiss and a hug
swalk,sealed with a loving kiss
swf,single white female
swm,single white male
swmbo,she who must be obeyed
swmt,stop wasting my time
swp,sorry wrong person
swsw2b,single when she wants to be
swt,sweet
swtf,seriously  what the f  k
sx,sex
sxc,sexy
sxcy,sexy
sxe,straight edge
sxi,sexy
sxs,sex
sxy,sexy
syatp,see you at the party
sydim,stick your d  k in me
sydlm,shut your dirty little mouth
syfm,shut your f  king mouth
syiab,see you in a bit
syiaf,see you in a few
syl,see you later
syl8r,see you later
sym,shut your mouth
syoa,save your own a  
syotbf,see you on the battlefield
syrs,see ya real soon
sys,see you soon
sysop,system operator
syt,see you there
sytycd,so you think you can dance
syu,sex you up
sz,sorry
t#3,the
"t,ftfy",there  fixed that for you
t.t.y.l,talk to you later
t/a,try again
t2b,time to blunt
t2m,talk to me
t2u,talking to you
t2ul,talk to you later
t2ul8r,talk to you later
t3h,the
t4a,thanks for asking
t4m,transgender for male
t8st,taste
ta,thanks again
taci,that s a crappy idea
tafn,that s all for now
taht,that
tai,think about it
taig,that s all i got 
tal,thanks a lot
tanq,thank you
tanstaafl,there ain t no such thing as a free lunch
tard,retard
tarfu,things are really f  ked up
tat,that
tat2,tattoo
tau,thinking about you
taunch,te amo un chingo
taw,teachers are watching
tay,thinking about you
tb,text back
tb4u,too bad for you
tba,to be anounced
tbc,to be continued
tbd,to be decided
tbf,to be fair
tbfh,to be f  king honest
tbfu,too bad for you
tbh,to be honest
tbhimo,to be honest in my opinion
tbnt,thanks but no thanks
tbp,the pirate bay
tbpfh,to be perfectly f  king honest
tbph,to be perfectly honest
tbqf,to be quite frank
tbqh,to be quite honest
tbss,too bad so sad
tbtfh,to be totally freaking honest
tbvh,to be very honest
tc,take care
tcfc,too close for comfort
tcfm,too cool for me
tcg,trading card game
tchbo,topic creater has been owned
tcial,the cake is a lie
tcoy,take care of yourself
tcp,transmission control protocol
tcp/ip,transmission control protocol internet protocol
td2m,talk dirty to me
tddup,till death do us part
tdf,to die for
tdl,too d  n lazy
tdtm,talk dirty to me
tdwdtg,the devil went down to georgia
te,team effort
teh,the
teotwawki,the end of the world as we know it
terd,s  t
tf2,team fortress 2
tfa,the f  king article
tfb,time for bed
tfbundy,totaly f  ked but unfortunatly not dead yet
tfc,team fortress classic
tfd,total f  king disaster
tff,that s f  king funny
tfft,thank f  k for that
tffw,too funny for words
tfh,thread from hell
tfic,tongue firmly in cheek
tfiik,the f  k if i know
tfl,thanks for looking
tfln,thanx for last night
tfm,too f  king much
tfs,thanks for sharing
tfta,thanks for the add
tfti,thanks for the information
tfu,that s f  ked up
tfu2baw,time for you to buy a watch
tg,thank god
tgfe,together forever
tgfitw,the greatest fans in the world
tgft,thank god for that
tgfu,too good for you
tgfuap,thank god for unanswered prayers
tghig,thank god husband is gone
tgif,thank god it s friday
tgiff,thank god its f  king friday
tgis,thank god it s saturday
tgiwjo,thank god it was just once
tgsttttptct,thank god someone took the time to put this crap together
tgtbt,too good to be true
tgwig,thank god wife is gone
tgws,that goes without saying
th@,that
tha,the
thankies,thank you
thankx,thank you
thanq,thank you
thanx,thank you
thar,there
thatz,that s
thku,thank you
thn,then
thnk,think
thnx,thanks
tho,though
thot,the hoe of today
thr,there
thr4,therefore
thru,through
tht,that
thwdi,thats how we do it
thwy,the hell with you 
thx,thank you
thxx,thanks
thz,thank you
ti2o,that is too obious
tia,thanks in advance
tiafayh,thanks in advance for all your help
tiai,take it all in
tias,try it and see
tiatwtcc,this is a trap word to catch copiers
tif,this is fun
tif2m,this is f  king 2 much
tifs,this is funny s  t
tifu,that is f  ked up
tigger,tiger
tiic,the idiots in control
til,until
tilf,teenager i d like to f  k
tinf,this is not fair
tinla,this is not legal advice
tinstaafl,there is no such thing as a free lunch
tioli,take it or leave it
tis,is
tisc,that is so cool
tisfu,that is so f  ked up
tisg,this is so gay
tisly,that is so last year
tisnf,that is so not fair
tiss,this is some s  t
tisw,that is so wrong
tiw,teacher is watching
tix,tickets
tjb,thats just boring
tk,team kill
tk2ul,talk to you later
tkd,tae kwon do
tker,team killer
tks,thanks
tku,thank you
tl,tough luck
"tl,dr",too long  didn t read
tl8r,talk later
tl:dr,too long  didn t read
tl; dr,to long  didn t read
tl;dr,too long  didn t read
tla,three letter acronym
tlc,tender loving care
tld,told
tldnr,too long  did not read
tldr,too long  didn t read 
tlgo,the list goes on
tliwwv,this link is worthless without video
tlk,talk
tlk2me,talk to me
tlk2ul8r,talk to you later
tlkin,talking
tlkn,talking
tltpr,too long to proof read 
tlyk,to let you know
tma,take my advice
tmaai,tell me all about it
tmai,tell me about it
tmbi,tell me about it
tmi,too much information
tmk,to my knowledge
tml,tell me later
tmmrw,tomorrow
tmnt,teenage mutant ninja turtles
tmo,take me out
tmoro,tomorrow
tmoz,tomorrow
tmr,tomorrow
tmr@ia,the monkeys are at it again
tmrrw,tomorrow
tmrw,tomorrow
tmrz,tomorrow
tms,that makes sense
tmsaisti,that s my story and i m sticking to it 
tmsg,tell me something good
tmsidk,tell me somthing i don t know
tmth,too much to handle
tmtmo,text me tomorrow
tmtoyh,too much time on your hands
tmtt,tell me the truth
tmw,too much work
tmwfi,take my word for it
tmz,tomorrow
tn1     trust no,one
tna,tits and a  
tnf,that s not funny
tnlnsl,took nothing left nothing signed log
tnx,thanks
tnxz,thanks
tob,teacher over back
tofy,thinking of you
toh,typing one handed
tok,that s ok
tok2ul8r,i ll talk to you later
tolol,thinking of laughing out loud
tomm,tommorow
tomoz,tomorrow
tos,terms of service
totes,totally
totl,total
totm,top of the morning
totp,talking on the phone
totpd,top of the page dance
tou,thinking of you
toya,thinking of you always
tp,toilet paper
tpb,the pirate bay
tpiwwp,this post is worthless without pictures
tps,test procedure specification
tptb,the powers that be
tq,thank you
trani,transexual
tranny,transexual
trble,trouble
trd,tired
trnsl8,translate
trnsltr,translator
troll,person who diliberately stirs up trouble
tru,true
ts,talking s  t
tsc,that s so cool
tsff,thats so f  kin funny
tsig,that site is gay
tsnf,that s so not fair
tss,that s so sweet
tstoac,too stupid to own a computer
tswc,tell someone who cares
tt4n,ta ta for now
ttbc,try to be cool
ttbomk,to the best o fmy knowledge
ttc,text the cell
ttfaf,through the fire and flames
ttfn,ta ta for now
tthb,try to hurry back
ttihlic,try to imagine how little i care
ttiuwiop,this thread is useless without pics
ttiuwop,this thread is useless without pics
ttiuwp,this thread is useless without pictures
ttiwwop,this thread is worthless without pics
ttiwwp,this thread is worthless without pics
ttl,total
ttlly,totally
ttly,totally
ttm,talk to me
ttml,talk to me later
ttms,talking to myself
ttr,time to run
ttrf,that s the rules  f  ker
tts,text to speech
ttt,to the top
ttth,talk to the hand
tttt,to tell the truth
ttul,talk to you later
ttul8r,talk to you later
ttus,talk to you soon
ttut,talk to you tomorrow
ttutt,to tell you the truth
tty,talk to you
ttyab,talk to you after breakfast
ttyad,talk to you after dinner
ttyal,talk to you after lunch
ttyas,talk to you at school
ttyiam,talk to you in a minute
ttyitm,talk to you in the morning
ttyl,talk to you later
ttyl8r,talk to you later
ttylo,talk to you later on
ttylt,talk to you later today
ttyn,talk to you never
ttyna,talk to you never again
ttynl,talk to you never loser
ttynw,talk to you next week
ttyo,talk to you online
ttyob,tend to your own business
ttyotp,talk to you on the phone
ttyrs,talk to you really soon
ttys,talk to you soon
ttyt,talk to you tomorrow
ttytm,talk to you tomorrow
ttytt,to tell you the truth
ttyw,talk to you whenever
ttywl,talk to you way later
tu,thank you
tuff,tough
tuh,to
tut,take your time
tuvm,thank you very much
tv,television
tvm,thanks very much
tw,teacher watching
twajs,that was a joke  son 
twat,vagina
twbc,that would be cool
twdah,that was dumb as hell
twf,that was funny
twfaf,thats what friends are for
twg,that was great
twi,texting while intoxicated
twis,that s what i said
twoh,typing with one hand
tws2wa,that was so 2 weeks ago
twss,that s what she said
twsy,that was so yeterday
twttr,twitter
twvsoy,that was very stupid of you
twyl,talk with you later
twys,talk with you soon
tx,thanks
txs,thanks
txt,text
txting,texting
txtyl,text you later
ty,thank you
tyclos,turn your caps lock off  stupid
tyfi,thank you for invite
tyfn,thank you for nothing
tyfyc,thank you for your comment
tyfyt,thank you for your time
tyl,text you later
tym,time
tyme,time
typ,thank you partner
typo,typing mistake
tyred,tired
tys,told you so
tysfm,thank you so f  king much
tysm,thank you so much
tysvm,thank you so very much
tyt,take your time
tyto,take your top off
tyty,thank you thank you
tyvm,thank you very much
tyvvm,thank you very very much
u,you
u iz a 304,you is a hoe
u'd,you would
u'll,you will
u'r,you re
u'v,you have
u've,you ve
u/l,upload
u/n,username
u2,you too
u2u,up to you
u4i,up for it
ua,user agreement
uaaaa,universal association against acronym abuse
uat,user acceptance testing
uayor,use at your own risk
ub3r,super
uber,over
uctaodnt,you can t teach an old dog new tricks
udc,you don t care
udek,you don t even know
uds,you dumb s  t
udwk,you don t want to know
udy,you done yet
ufab,ugly fat a   b   h
ufia,unsolicited finger in the anus
ufic,unsolicited finger in chili
ufmf,you funny mother f  ker
ufr,upon further review
ugba,you gay b   h a  
ugtr,you got that right
uhab,you have a blog
uhems,you hardly ever make sense
ui,user interface
ujds,u just did s  t
ukr,you know right
ukwim,you know what i mean
ul,unlucky
ulbom,you looked better on myspace
umfriend,sexual partner
un2bo,you need to back off
un4rtun8ly,unfortunately
unt,until next time
uom,you owe me
upcia,unsolicited pool cue in anus
upia,unsolicited pencil in anus
upmo,you piss me off
upos,you piece of s  t
upw,unidentified party wound
ur,your
ur2g,you are too good
ur6c,you re sexy
ura,you are a
uradrk,you re a dork
urafb,you are a f  king b   h
uraqt,you are a cutie
urcrzy,you are crazy
ure,you are
urg,you are gay
urht,you re hot
url8,you are late
urms,you rock my socks
urmw,you are my world
urnc,you are not cool
urs,yours
ursab,you are such a b   h
ursdf,you are so d  n fine
ursg,you are so gay
ursh,you are so hot
urssb,you are so sexy baby
urstpid,you are stupid
urstu,you are stupid
urtb,you are the best
urtbitw,you are the best in the world 
urtrd,you retard
urtw,you are the worst
urw,you are weird
uryyfm,you are too wise for me
usck,you suck
usd,united states dollar
ussr,the union of soviet socialist republics
usuk,you suck
usux,you suck
ut,you there
uta,up the a  
utfs,use the f  king search
utfse,use the f  king search engine
utm,you tell me
uttm,you talking to me 
utube,youtube
utw,used to work
uty,it s up to you
uve,you ve
uvgtbsm,you have got to be shiting me
uw,you re welcome
uwc,you are welcome
uya,up your a  
uyab,up your a   b   h
v4g1n4,vagina
vag,vagina
vajayjay,vagina
vb,visual basic
vbeg,very big evil grin
vbg,very big grin
vf,very funny
vfe,virgins 4 ever
vff,verry f  king funny
vfm,value for money
vgg,very good game
vgh,very good hand
vgl,very good looking
vgn,video game nerd
vid,video
vids,videos
vip,very important person
vleo,very low earth orbit
vlog,video log
vn,very nice
vnc,virtual network computing
vnh,very nice hand
voip,voice over ip
vrsty,varsity
vry,very
vwd,very well done
vweg,very wicked evil grin
vzit,visit
vzn,verizo
w'sup,what s up
w.b.s.,write back soon
w.e,whatever
w.e.,whatever
w.o.w,world of warcraft
w.o.w.,world of warcraft
w/,with
w/b,write back
w/e,whatever
w/end,weekend
w/eva,whatever
w/o,with out
w/out,without
w/u,with you
w00t,woohoo
w012d,word
w2d,what to do
w2f,want to f  k
w2g,way to go
w2ho,want to hang out
w2m,want to meet
w33d,weed
w8,wait
w8am,wait a minute
w8ing,waiting
w8t4me,wait for me
w8ter,waiter
w911,wife in room
w\e,whatever
wab,what a b   h
wad,without a doubt
wad ^,what s up 
wadr,with all due respect
wadzup,what s up 
waf,weird as f  k
wafda,what a f  king dumb a  
wafl,what a f  king loser
wafm,wait a f  king minute
wafn,what a f  ken noob
wai,what an idiot
waloc,what a load of crap
walstib,what a long strange trip it s been
wam,wait a minute
wamh,with all my heart
wan2tlk,want to talk
wana,want to
wanafuk,wanna f  k
wanker,masturbater
wanking,masturbating
wanna,want to
wansta,wanna be ganster
warez,illegally obtained software
was^,what s up
wassup,what s up 
wasup,what s up
wat,what
wat's^,whats up
watcha,what are you
watev,whatever
wateva,whatever
watevr,whatever
watevs,whatever
wats,whats
wats ^,whats up
wats^,what s up 
watz ^,what s up
wau,what about you
wau^2,what are you up to 
waug,where are you going
wauw,what are you wearing
waw,what a w   e
waycb,when are you coming back
wayd,what are you doing
waygow,who are you going out with
wayh,why are you here
wayn,where are you now
waysttm,why are you still talking to me
waysw,why are you so weird
wayt,what are you thinking 
wayta,what are you talking about
wayut,what are you up to
waz,what is
waz ^,what s up
waz^,what s up 
wazz,what s
wazza,what s up
wazzup,what s up
wb,welcome back
wbagnfarb,would be a good name for a rock band
wbb,will be back
wbbs,will be back soon
wbp,welcome back partner
wbrb,will be right back
wbs,write back soon
wbu,what about you
wby,what about you
wc,who cares
wc3,warcraft iii
wcutm,what can you tell me
wcw,webcam w   e
wd,well done
wdf,worth dying for
wdhlm,why doesnt he love me 
wdidn,what do i do now
wdim,what did i miss
wdtm,what does that mean
wduc,what do you care
wdum,what do you mean
wdus,what did you say
wdut,what do you think 
wdutom,what do you think of me
wduw,what do you want
wduwta,what do you wanna talk about
wduwtta,what do you want to talk about
wdwdn,what do we do now
wdwgw,where did we go wrong
wdydt,why do you do that
wdye,what do you expect
wdyl,who do you like
wdym,what do you mean
wdys,what did you say
wdyt,what do you think
wdytia,who do you think i am 
wdyw,what do you want
wdywd,what do you want to do 
wdywtd,what do you want to do
wdywtdt,why do you want to do that 
wdywtta,what do you want to talk about
webby,webcam
weg,wicked evil grin
welc,welcome
wen,when
werkz,works
wev,whatever
weve,what ever
wevr,whatever
wfh,working from home
wfhw,what s for homework
wfm,works for me
wfyb,whatever floats your boat
wg,wicked gril
wgac,who gives a crap
wgaf,who gives a f  k
wgas,who gives a s  t
wgasa,who gives a s  t anyway
wgo,what s going on
wgph2,want to go play halo 2 
wha,what 
whaddya,what do you
whaletail,thong
what^,what s up 
whatcha,what are you
whatev,whatever
whatevs,whatever
whats ^,whats up
whenevs,whenever
whevah,where ever
whever,whatever
whf,wanna have fun 
whit,with
whodi,friend
whr,where
whs,wanna have sex
wht,what
wht^,what up
whteva,what ever
whteve,whatever
whtever,whatever
whtevr,whatever
whtvr,whatever
whubu2,what have you been up to
whubut,what have you been up to
whut,what
whyb,where have you been
whyd,what have you done
wid,with
widout,without
wieu2,what is everyone up to
wif,with
wiid,what if i did
wilco,will comply
winnar,winner
wio,without
wip,work in progress
wit,with
witcha,with you
witfp,what is the f  king point
witu,with you
witw,what in the world
witwct,what is the world coming too
witwu,who is there with you
witwwyt,what in the world were you thinking
wiu,what is up 
wiuwu,what is up with you
wiv,with
wiw,wife is watching
wiwhu,wish i was holding you
wiwt,wish i was there
wiyp,what is your problem
wjwd,what jesus would do
wk,week
wkd,wicked
wkend,weekend
wl,will
wlc,welcome
wlcb,welcome back
wlcm,welcome
wld,would
wlkd,walked
wlos,wife looking over shoulder
wltm,would like to meet
wmao,working my a   off
wmd,weapons of ma   destruction
wmgl,wish me good luck
wml,wish me luck
wmyb,what makes you beautiful
wn,when
wna,want to
wnkr,wanker
wnrn,why not right now
wnt,want
wntd,what not to do
woa,word of advice
woc,welcome on cam
wochit,watch it
woe,what on earth
woft,waste of f  king time
wogge,what on god s green earth 
wogs,waste of good sperm
wolo,we only live once
wombat,waste of money  brains  and time
woot,woohoo
wot,what
wotevs,whatever
wotv,what s on television 
wotw,word of the week
woum,what s on your mind
wowzers,wow
woz,was
wp,wrong person
wpe,worst president ever  bush 
wrd,word
wrdo,weirdo
wrgad,who really gives a d  n
wrgaf,who really gives a f  k 
wrk,work
wrm,which reminds me
wrng,wrong
wrt,with regard to
wrtg,writing
wrthls,worthless
wru,where are you
wrud,what are you doing
wruf,where are you from
wruu2,what are you up to
wsb,wanna cyber 
wsf,we should f  k
wshtf,when s  t hits the fan
wsi,why should i
wsibt,when should i be there
wsidi,why should i do it
wsop,world series of poker
wswta,what shall we talk about 
wtb,want to buy
wtbd,what s the big deal
wtbh,what the bloody hell
wtc,what the crap
wtcf,what the crazy f  k
wtd,what the deuce
wtf,what the f  k
wtfaud,what the f  k are you doing 
wtfay,who the f  k are you
wtfayd,what the f  k are you doing
wtfayt,why the f  k are you talking
wtfayta,what the f  k are you talking about 
wtfb,what the f  k b   h
wtfbs,what the f  k bull s  t
wtfc,who the f  k cares
wtfdik,what the f  k do i know
wtfdum,what the f  k do you mean
wtfduw,what the f  k do you want 
wtfdyw,what the f  k do you want
wtfe,what the f  k ever
wtfever,what the f  k ever
wtfg,what the f  king god
wtfh,what the f  king hell
wtfhb,what the f  king hell b   h
wtfhwt,what the f  king hell was that
wtfigo,what the f  k is going on
wtfigoh,what the f  k is going on here
wtfit,what the f  k is that
wtfits,what the f  k is this s  t
wtfiu,what the f  k is up
wtfiup,what the f  k is your problem
wtfiuwy,what the f  k is up with you
wtfiwwu,what the f  k is wrong with you
wtfiwwy,what the f  k is wrong with you
wtfiyp,what the f  k is your problem
wtfm,what the f  k  mate 
wtfmf,what the f  k mother f  ker
wtfo,what the f  k over
wtfru,what the f  k are you
wtfrud,what the f  k are you doing 
wtfrudng,what the f  k are you doing
wtfrudoin,what the f  k are you doing
wtfruo,what the f  k are you on 
wtfruttd,what the f  k are you trying to do
wtfs,what the f  king s  t 
wtfuah,what the f  k you a  h  e
wtful,what the f  k you loser
wtfwjd,what the f  k would jesus do
wtfwt,what the f  k was that
wtfwtd,what the f  k was that dude
wtfwtf,what the f  k was that for 
wtfya,what the f  k you a  h  e
wtfyb,what the f  k you b   h
wtg,way to go
wtgds,way to go dumb s  t
wtgp,want to go private
wth,what the heck
wtharud,what the heck are you doing
wthau,who the hell are you
wthauwf,what the hell are you waiting for
wthay,who the hell are you
wthayd,what the heck are you doing
wthaydwmgf,what the hell are you doing with my girlfriend
wthdydt,why the hell did you do that
wthhyb,where the hell have you been 
wthigo,what the hell is going on
wthiwwu,what the hell is wrong with you
wtho,want to hang out 
wthru,who the heck are you
wthrud,what the hell are you doing 
wths,want to have sex
wthswm,want to have sex with me
wthwt,what the hell was that 
wthwut,what the hell were you thinking
wthyi,what the hell you idiot
wtii,what time is it
wtiiot,what time is it over there 
wtityb,whatever  tell it to your blog
wtly,welcome to last year
wtmf,what the mother f  k
wtmfh,what the mother f  king hell
wtmi,way too much information
wtmtr,what s the matter
wtp,where s the party
wtrud,what are you doing
wts,want to sell
wtt,want to trade
wttp,want to trade pictures 
wtv,whatever
wtva,whatever
wtvr,whatever
wtwm,what time are we meeting 
wtwr,well that was random
wu,what s up 
wu2kilu,want you to know i love you
wub,love
wubmgf,will you be my girlfriend 
wubu2,what you been up to
wubut,what you been up too
wud,would
wudev,whatever
wudn,what you doing now
wugowm,will you go out with me
wula,what you looking at 
wuld,would
wuny,wait until next year
wussup,what is up 
wut,what
wutb,what are you talking about
wutcha,what are you
wuteva,whatever
wutevr,what ever
wuts,what is
wutup,what s up
wuu2,what you up to
wuu22m,what you up to tomorrow
wuut,what you up to
wuv,love
wuwh,wish you were here
wuwt,what s up with that
wuwta,what do you want to talk about
wuwtab,what do you want to talk about
wuwtb,what do you want to talk about
wuwtta,what you want to talk about
wuwu,what up with you
wuz,was
wuza,what s up
wuzup,what s up
wwc,who would care
wwcnd,what would chuck norris do
wwdhd,what would david hasselhoff do
wwe,world wrestling entertainment
wwgf,when we gonna f  k
wwhw,when where how why
wwikt,why would i know that
wwjd,what would jesus do 
wwt,what was that
wwtf,what was that for
wwudtm,what would you do to me
wwut,what were you thinking
www,world wide web
wwwy,what s wrong with you
wwy,where were you
wwycm,when will you call me
wwyd,what would you do 
wwyd2m,what would you do to me
wwyt,what were you thinking
wy,why 
wyas,wow you are stupid
wyatb,wish you all the best
wyauimg,why you all up in my grill 
wybts,were you born this sexy
wyc,will you come
wycm,will you call me
wyd,what are you doing
wyg,will you go
wygac,when you get a chance
wygam,when you get a minute
wygowm,will you go out with me
wygwm,will you go with me
wyhi,would you hit it 
wyhswm,would you have sex with me
wyltk,wouldn t you like to know
wylym,watch your language young man
wym,what you mean 
wyn,what s your name
wyp,what s your problem 
wypsu,will you please shut up
wys,wow you re stupid
wysiayg,what you see is all you get
wysitwirl,what you see is totally worthless in real life
wysiwyg,what you see is what you get
wyw,what you want
wywh,wish you were here
wywo,while you were out
x treme,extreme
xb36t,xbox 360
xbf     ex,boyfriend
xbl,xbox live
xcept,except
xcpt,except
xd,extreme droll
xellent,excellent
xfer,transfer
xgf,exgirlfriend
xing,crossing
xit,exit
xl,extra large
xlnt,excellent
xmas,christmas
xmpl,example
xoac,christ on a crutch
xor,hacker
xover,crossover
xox,hugs and kisses
xoxo,hugs and kisses
xp,experience
xpect,expect
xplaned,explained
xpt,except
xroads,crossroads
xs,excess
xtc,ecstasy
xtra,extra
xtreme,extreme
xyz,examine your zipper
xyzpdq,examine your zipper pretty darn quick
y,why
y w,you re welcome
y!a,yahoo answers
y'all,you all
y/n,yes or no
y/o,years old
y00,you
y2b,youtube
y2k,year 2000
ya,yeah
yaaf,you are a f  
yaafm,you are a f  king moron
yaagf,you are a good friend
yaai,you are an idiot
yaf,you re a f  
yafi,you re a f  king idiot
yag,you are gay
yall,you all
yapa,yet another pointless acronym
yaqw,you are quite welcome
yarly,yeah really
yas,you are stupid
yasan,you are such a nerd
yasf,you are so funny
yasfg,you are so f  king gay
yasg,you are so gay
yasw,you are so weird
yatb,you are the best
yatwl,you are the weakest link
yaw,you are welcome
yayo,cocaine
ybbg,your brother by grace
ybs,you ll be sorry
ybya,you bet your a  
ycliu,you could look it up
ycmtsu,you can t make this s  t up
ycntu,why cant you 
yctwuw,you can think what you want
ydpos,you dumb piece of s  t
ydtm,you re dead to me
ydufc,why do f  king care 
yduwtk,why do you want to know
ye,yeah
yea,yeah
yer,you re
yermom,your mother
yesh,yes
yew,you
yfb,you f  king b     d
yfg,you re f  king gay
yfi,you f  king idiot
ygg,you go girl
ygm,you got mail
ygp,you got punked 
ygpm,you ve got a private message
ygrr,you got rick rolled
ygtbfkm,you ve got to be f  king kidding me
ygtbk,you ve got to be kidding
ygtbkm,you got to be kidding me
ygtbsm,you ve got to be shitting me
ygtsr,you got that s  t right
yh,yeah
yhbt,you ve been trolled
yhew,you
yhf,you have failed
yhgtbsm,you have got to be shitting me
yhl,you have lost
yhm,you have mail
yhpm,you have a private messge
yhtbt,you had to be there
yid,yes  i do
yim,yahoo instant messenger
yiwtgo,yes  i want to go private
yk,you kidding
yki,you know it
ykisa,your knight in shining armor
ykm,you re killing me
ykn,you know nothing
ykw,you know what
ykwim,you know what i mean
ykwya,you know who you are
ykywywm,you know you wish you were me
ylb,you little b   h
ym,your mom
ymbkm,you must be kidding me
yme,why me
ymfp,your most favorite person
ymg2c,your mom goes to college
ymgtc,your mom goes to college
ymiaw,your mom is a w   e
ymislidi,you make it sound like i did it
ymmd,you made my day
ymmv,your mileage may vary
ymrasu,yes  my retarded a   signed up
yn,why not
yng,young
ynk,you never know
ynm,yes  no  maybe
ynt,why not
ynw,you know what
yo,year old
yo',your
yodo,you only die once
yolo,you only live once
yolt,you only live twice
yomank,you owe me a new keyboard
yooh,you
yor,your
youngin,young person
yoy,why oh why
ypmf,you pissed me off
ypmo,you piss me off
ypom,your place or mine
yqw,you re quite welcome
yr,year
yrbk,yearbook
yrms,you rock my socks
yrs,years
yrsaf,you are such a fool
yrsm,you really scare me
yrss,you are so sexy
yru,why are you 
yrubm,why are you bugging me 
yrusm,why are you so mean
